weaponName1	weaponType1	2.0	3.0	weaponInfo1
weaponName2	weaponType2	1.4	2.0	weaponInfo2
weaponName3	weaponType3	1.5	2.0	weaponInfo3
weaponName4	weaponType4	3.0	5.0	weaponInfo4
weaponName5	weaponType5	2.4	3.2	weaponInfo5
weaponName6	weaponType6	1.8	2.6	weaponInfo6
weaponName7	weaponType7	2.1	2.9	weaponInfo7
weaponName8	weaponType1	2.0	3.0	weaponInfo11
weaponName9	weaponType2	1.4	2.0	weaponInfo21
weaponName10	weaponType3	1.5	2.0	weaponInfo31
weaponName11	weaponType4	3.0	5.0	weaponInfo41
weaponName12	weaponType5	2.4	3.2	weaponInfo51
weaponName13	weaponType6	1.8	2.6	weaponInfo61
weaponName14	weaponType7	2.1	2.9	weaponInfo71
weaponName15	weaponType1	2.0	3.0	weaponInfo12
weaponName16	weaponType2	1.4	2.0	weaponInfo22
weaponName17	weaponType3	1.5	2.0	weaponInfo32
weaponName18	weaponType4	3.0	5.0	weaponInfo42
weaponName19	weaponType5	2.4	3.2	weaponInfo52
weaponName20	weaponType6	1.8	2.6	weaponInfo62
weaponName21	weaponType7	2.1	2.9	weaponInfo72
weaponName22	weaponType1	2.0	3.0	weaponInfo13
weaponName23	weaponType2	1.4	2.0	weaponInfo23
weaponName24	weaponType3	1.5	2.0	weaponInfo33
weaponName25	weaponType4	3.0	5.0	weaponInfo43
weaponName26	weaponType5	2.4	3.2	weaponInfo53
weaponName27	weaponType6	1.8	2.6	weaponInfo63
weaponName28	weaponType7	2.1	2.9	weaponInfo73
weaponName29	weaponType1	2.0	3.0	weaponInfo14
weaponName30	weaponType2	1.4	2.0	weaponInfo24
weaponName31	weaponType3	1.5	2.0	weaponInfo34
weaponName32	weaponType4	3.0	5.0	weaponInfo44
weaponName33	weaponType5	2.4	3.2	weaponInfo54
weaponName34	weaponType6	1.8	2.6	weaponInfo64
weaponName35	weaponType7	2.1	2.9	weaponInfo74
weaponName36	weaponType1	2.0	3.0	weaponInfo15
weaponName37	weaponType2	1.4	2.0	weaponInfo25
weaponName38	weaponType3	1.5	2.0	weaponInfo35
weaponName39	weaponType4	3.0	5.0	weaponInfo45
weaponName40	weaponType5	2.4	3.2	weaponInfo55
weaponName41	weaponType6	1.8	2.6	weaponInfo65
weaponName42	weaponType7	2.1	2.9	weaponInfo75
weaponName43	weaponType1	2.0	3.0	weaponInfo16
weaponName44	weaponType2	1.4	2.0	weaponInfo26
weaponName45	weaponType3	1.5	2.0	weaponInfo36
weaponName46	weaponType4	3.0	5.0	weaponInfo46
weaponName47	weaponType5	2.4	3.2	weaponInfo56
weaponName48	weaponType6	1.8	2.6	weaponInfo66
weaponName49	weaponType7	2.1	2.9	weaponInfo76
weaponName50	weaponType1	2.0	3.0	weaponInfo17
weaponName51	weaponType2	1.4	2.0	weaponInfo27
weaponName52	weaponType3	1.5	2.0	weaponInfo37
weaponName53	weaponType4	3.0	5.0	weaponInfo47
weaponName54	weaponType5	2.4	3.2	weaponInfo57
weaponName55	weaponType6	1.8	2.6	weaponInfo67
weaponName56	weaponType7	2.1	2.9	weaponInfo77
weaponName57	weaponType1	2.0	3.0	weaponInfo18
weaponName58	weaponType2	1.4	2.0	weaponInfo28
weaponName59	weaponType3	1.5	2.0	weaponInfo38
weaponName60	weaponType4	3.0	5.0	weaponInfo48
weaponName61	weaponType5	2.4	3.2	weaponInfo58
weaponName62	weaponType6	1.8	2.6	weaponInfo68
weaponName63	weaponType7	2.1	2.9	weaponInfo78
weaponName101	weaponType1	2.0	3.0	weaponInfo1
weaponName201	weaponType2	1.4	2.0	weaponInfo2
weaponName301	weaponType3	1.5	2.0	weaponInfo3
weaponName401	weaponType4	3.0	5.0	weaponInfo4
weaponName501	weaponType5	2.4	3.2	weaponInfo5
weaponName601	weaponType6	1.8	2.6	weaponInfo6
weaponName701	weaponType7	2.1	2.9	weaponInfo7
weaponName801	weaponType1	2.0	3.0	weaponInfo11
weaponName901	weaponType2	1.4	2.0	weaponInfo21
weaponName102	weaponType3	1.5	2.0	weaponInfo31
weaponName112	weaponType4	3.0	5.0	weaponInfo41
weaponName122	weaponType5	2.4	3.2	weaponInfo51
weaponName132	weaponType6	1.8	2.6	weaponInfo61
weaponName142	weaponType7	2.1	2.9	weaponInfo71
weaponName152	weaponType1	2.0	3.0	weaponInfo12
weaponName162	weaponType2	1.4	2.0	weaponInfo22
weaponName172	weaponType3	1.5	2.0	weaponInfo32
weaponName182	weaponType4	3.0	5.0	weaponInfo42
weaponName192	weaponType5	2.4	3.2	weaponInfo52
weaponName202	weaponType6	1.8	2.6	weaponInfo62
weaponName212	weaponType7	2.1	2.9	weaponInfo72
weaponName222	weaponType1	2.0	3.0	weaponInfo13
weaponName232	weaponType2	1.4	2.0	weaponInfo23
weaponName242	weaponType3	1.5	2.0	weaponInfo33
weaponName252	weaponType4	3.0	5.0	weaponInfo43
weaponName262	weaponType5	2.4	3.2	weaponInfo53
weaponName272	weaponType6	1.8	2.6	weaponInfo63
weaponName282	weaponType7	2.1	2.9	weaponInfo73
weaponName292	weaponType1	2.0	3.0	weaponInfo14
weaponName302	weaponType2	1.4	2.0	weaponInfo24
weaponName312	weaponType3	1.5	2.0	weaponInfo34
weaponName322	weaponType4	3.0	5.0	weaponInfo44
weaponName332	weaponType5	2.4	3.2	weaponInfo54
weaponName342	weaponType6	1.8	2.6	weaponInfo64
weaponName352	weaponType7	2.1	2.9	weaponInfo74
weaponName362	weaponType1	2.0	3.0	weaponInfo15
weaponName372	weaponType2	1.4	2.0	weaponInfo25
